"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
KBCGLOBAL,0.52,0.61,0.09,17.31,0.61,"48,04,058",0.29,1.28,0.34
DELPHIFX,162.03,177.7,15.67,9.67,177.7,"18,711",0.33,375.89,109.16
MKPL,8.44,9.1,0.66,7.82,9.1,"1,87,662",0.17,12.88,5.4
SGL,17.11,18.2,1.09,6.37,18.2,"34,477",0.06,27.32,10.04
AKG,12.89,13.59,0.7,5.43,13.59,53,-,25.68,11.24
TARAPUR,27.8,29.19,1.39,5,29.19,"2,159",0.01,50.85,11.27
MASON,138.4,145.3,6.9,4.99,145.3,"7,000",0.1,218.75,73.5
AXISCADES,"1,217.30","1,278.10",60.8,4.99,"1,278.10","4,075",0.52,"1,217.30",420.9
SHYAMTEL,16.43,17.25,0.82,4.99,17.25,"1,609",-,35,11.49
GGBL,430.5,452,21.5,4.99,452,"1,500",0.07,635,282.2
TCIFINANCE,17.09,17.94,0.85,4.97,17.94,100,-,20.14,10.51
NIRAJISPAT,280.55,294.5,13.95,4.97,294.5,28,-,280.55,185.65
ZENITHDRUG,69.55,73,3.45,4.96,73,"2,400",0.02,154.4,47.15
CALSOFT,14.36,15.07,0.71,4.94,15.07,"5,635",0.01,-,-
PRUDMOULI,45.99,48.25,2.26,4.91,48.25,554,-,75.84,19.01
LAKPRE,5.2,5.45,0.25,4.81,5.45,2,-,7.42,3.88
JFLLIFE,16.05,16.8,0.75,4.67,16.8,"6,000",0.01,37.15,13.22
BINANIIND,14.05,14.69,0.64,4.56,14.69,41,-,23.11,9.17
COMPINFO,1.98,2.07,0.09,4.55,2.07,145,-,4.06,1.26
TREJHARA,233.51,244,10.49,4.49,244,1,-,303.99,155.56
NAGREEKEXP,28.74,29.99,1.25,4.35,29.99,22,-,58.75,22.5
SALONA,246.55,257.2,10.65,4.32,257.2,1,-,344.9,215
UNIMECH,"1,339.60","1,397.00",57.4,4.28,"1,397.00","6,898",0.96,-,-
AMDIND,50.06,52.2,2.14,4.27,52.2,880,-,87.9,39.85
SANCO,3.31,3.45,0.14,4.23,3.45,"2,530",-,9.85,2.04
PROSTARM,112.33,117,4.67,4.16,117,"27,973",0.33,-,-
UNIDT,243.99,254,10.01,4.1,254,"28,947",0.74,294.9,184.46
CYBERMEDIA,17.82,18.55,0.73,4.1,18.55,"5,483",0.01,34.69,11.66
UNITEDPOLY,19.59,20.38,0.79,4.03,20.38,830,-,20.22,8.1
