Date,Close/Last,Volume,Open,High,Low
06/18/2025,42171.66,N/A,42236.03,42510.07,42118.23
06/17/2025,42215.80,N/A,42358.62,42530.83,42132.65
06/16/2025,42515.09,N/A,42300.13,42707.73,42300.13
06/13/2025,42197.79,N/A,42579.48,42602.48,42081.09
06/12/2025,42967.62,N/A,42737.36,42970.40,42606.42
06/11/2025,42865.77,N/A,42882.86,43115.69,42738.62
06/10/2025,42866.87,N/A,42738.27,42925.94,42710.09
06/09/2025,42761.76,N/A,42786.19,42893.09,42567.55
06/06/2025,42762.87,N/A,42631.82,42924.56,42582.55
06/05/2025,42319.74,N/A,42487.89,42601.45,42211.69
06/04/2025,42427.74,N/A,42574.13,42645.00,42427.74
06/03/2025,42519.64,N/A,42304.50,42568.38,42186.44
06/02/2025,42305.48,N/A,42199.94,42317.00,41853.62
05/30/2025,42270.07,N/A,42192.35,42376.08,41906.16
05/29/2025,42215.73,N/A,42190.02,42266.00,41828.35
05/28/2025,42098.70,N/A,42361.63,42448.72,42042.26
05/27/2025,42343.65,N/A,41849.04,42350.66,41849.04
05/23/2025,41603.07,N/A,41525.70,41788.61,41354.09
05/22/2025,41859.09,N/A,41763.68,42090.42,41714.43
05/21/2025,41860.44,N/A,42354.46,42439.27,41785.22
05/20/2025,42677.24,N/A,42735.11,42800.04,42485.37
05/19/2025,42792.07,N/A,42542.81,42842.04,42337.71
05/16/2025,42654.74,N/A,42356.20,42663.68,42232.56
05/15/2025,42322.75,N/A,41777.98,42351.42,41777.98
05/14/2025,42051.06,N/A,42150.09,42254.75,41952.86
05/13/2025,42140.43,N/A,42507.33,42507.33,42132.04
05/12/2025,42410.10,N/A,41899.05,42418.05,41899.05
05/09/2025,41249.38,N/A,41405.48,41512.43,41150.73
05/08/2025,41368.45,N/A,41312.57,41773.22,41167.76
05/07/2025,41113.97,N/A,40956.08,41266.91,40829.29
05/06/2025,40829.00,N/A,41000.19,41164.33,40759.41
05/05/2025,41218.83,N/A,41173.38,41445.91,41063.44
05/02/2025,41317.43,N/A,40960.42,41386.19,40960.42
05/01/2025,40752.96,N/A,40918.04,41099.52,40705.63
04/30/2025,40669.36,N/A,40290.41,40777.16,39745.63
04/29/2025,40527.62,N/A,40233.98,40630.49,40222.18
04/28/2025,40227.59,N/A,40171.74,40414.18,39869.10
04/25/2025,40113.50,N/A,40045.73,40137.31,39718.68
04/24/2025,40093.40,N/A,39531.05,40157.91,39371.87
04/23/2025,39606.57,N/A,39815.01,40376.11,39487.14
04/22/2025,39186.98,N/A,38516.23,39272.03,38516.23
04/21/2025,38170.41,N/A,38906.04,38906.04,37830.66
04/17/2025,39142.23,N/A,39745.58,39745.58,38950.31
04/16/2025,39669.39,N/A,40179.49,40416.80,39394.75
04/15/2025,40368.96,N/A,40527.82,40791.18,40346.94
04/14/2025,40524.79,N/A,40546.15,40778.29,40159.02
04/11/2025,40212.71,N/A,39493.42,40404.27,39255.21
04/10/2025,39593.66,N/A,39996.93,39996.93,38427.70
04/09/2025,40608.45,N/A,37387.91,40778.70,37275.69
04/08/2025,37645.59,N/A,38827.10,39426.60,37103.86
04/07/2025,37965.60,N/A,37879.65,39207.02,36611.78
04/04/2025,38314.86,N/A,40097.90,40097.90,38264.87
04/03/2025,40545.93,N/A,40986.52,41173.62,40513.11
04/02/2025,42225.32,N/A,41736.08,42382.27,41629.70
04/01/2025,41989.96,N/A,41879.75,42140.66,41519.90
03/31/2025,42001.76,N/A,41382.52,42147.38,41148.13
03/28/2025,41583.90,N/A,42245.82,42258.15,41530.00
03/27/2025,42299.70,N/A,42432.96,42523.84,42142.19
03/26/2025,42454.79,N/A,42655.85,42821.83,42326.67
03/25/2025,42587.50,N/A,42635.54,42696.61,42441.83
03/24/2025,42583.32,N/A,42180.14,42638.85,42180.14
03/21/2025,41985.35,N/A,41763.40,42011.40,41433.86
03/20/2025,41953.32,N/A,41795.26,42250.29,41695.61
03/19/2025,41964.63,N/A,41613.19,42178.41,41613.19
03/18/2025,41581.31,N/A,41772.91,41787.25,41415.43
03/17/2025,41841.63,N/A,41460.22,42013.10,41412.75
03/14/2025,41488.19,N/A,41057.57,41528.11,40929.54
03/13/2025,40813.57,N/A,41280.05,41360.12,40661.77
03/12/2025,41350.93,N/A,41577.50,41721.36,41010.24
03/11/2025,41433.48,N/A,41837.95,41868.27,41175.37
03/10/2025,41911.71,N/A,42507.65,42541.36,41612.92
03/07/2025,42801.72,N/A,42503.07,42898.68,42175.62
03/06/2025,42579.08,N/A,42848.49,42970.49,42381.56
03/05/2025,43006.59,N/A,42518.37,43135.92,42418.73
03/04/2025,42520.99,N/A,43040.30,43084.00,42347.75
03/03/2025,43191.24,N/A,43900.49,44033.78,42919.31
02/28/2025,43840.91,N/A,43259.84,43873.55,43100.87
02/27/2025,43239.50,N/A,43516.44,43884.19,43224.53
02/26/2025,43433.12,N/A,43635.42,43866.50,43318.93
02/25/2025,43621.16,N/A,43509.74,43767.74,43282.98
02/24/2025,43461.21,N/A,43493.12,43699.15,43343.67
02/21/2025,43428.02,N/A,43820.13,43959.73,43349.33
02/20/2025,44176.65,N/A,44561.11,44561.11,43950.16
02/19/2025,44627.59,N/A,44478.12,44636.19,44312.65
02/18/2025,44556.34,N/A,44583.91,44602.02,44319.32
02/14/2025,44546.08,N/A,44720.99,44769.05,44498.96
