Date,Close/Last,Open,High,Low
06/18/2025,21719.69,21745.5,21863.0,21660.52
06/17/2025,21719.08,21858.89,21896.42,21680.17
06/16/2025,21937.57,21783.08,21979.77,21783.08
06/13/2025,21631.04,21675.94,21838.47,21591.11
06/12/2025,21913.32,21826.79,21952.0,21807.0
06/11/2025,21860.8,21994.16,22041.83,21775.27
06/10/2025,21941.92,21819.78,21961.42,21727.34
06/09/2025,21797.87,21779.18,21855.15,21729.3
06/06/2025,21761.79,21777.5,21836.57,21696.69
06/05/2025,21547.43,21782.34,21891.89,21472.76
06/04/2025,21721.92,21689.02,21761.37,21607.33
06/03/2025,21662.58,21529.98,21715.96,21474.51
06/02/2025,21491.75,21270.57,21500.36,21199.37
05/30/2025,21340.99,21330.85,21386.29,21032.56
05/29/2025,21363.95,21611.54,21611.54,21260.72
05/28/2025,21318.17,21451.69,21508.08,21296.51
05/27/2025,21414.99,21201.45,21429.32,21145.13
05/23/2025,20915.65,20806.37,21025.58,20777.97
05/22/2025,21112.47,21097.46,21263.18,21046.22
05/21/2025,21080.36,21217.31,21482.98,21002.09
05/20/2025,21367.37,21347.63,21399.99,21226.66
05/19/2025,21447.05,21138.13,21464.56,21138.13
05/16/2025,21427.94,21375.62,21428.79,21246.42
05/15/2025,21335.82,21206.73,21443.88,21168.17
05/14/2025,21319.21,21254.47,21336.48,21199.85
05/13/2025,21197.7,20906.92,21259.39,20891.18
05/12/2025,20868.15,20818.78,20870.12,20613.27
05/09/2025,20061.45,20170.37,20203.58,19984.53
05/08/2025,20063.57,20067.43,20249.76,19907.67
05/07/2025,19867.97,19804.5,19960.86,19605.07
05/06/2025,19791.34,19709.64,19927.23,19659.32
05/05/2025,19967.94,19928.82,20100.61,19899.28
05/02/2025,20102.61,19986.61,20176.6,19936.67
05/01/2025,19786.71,19866.83,20024.48,19763.14
04/30/2025,19571.02,19168.09,19612.76,19011.98
04/29/2025,19544.95,19315.95,19582.77,19304.83
04/28/2025,19427.29,19432.72,19519.33,19162.46
04/25/2025,19432.56,19209.72,19447.56,19133.23
04/24/2025,19214.4,18756.53,19224.8,18744.47
04/23/2025,18693.26,18870.62,19043.01,18618.89
04/22/2025,18276.41,18033.9,18396.39,17993.24
04/21/2025,17808.3,18023.01,18043.08,17592.92
