Date,Close/Last,Open,High,Low
06/18/2025,2112.96,2101.36,2127.67,2100.44
06/17/2025,2101.96,2113.86,2120.38,2101.59
06/16/2025,2124.13,2115.07,2134.71,2115.07
06/13/2025,2100.51,2120.23,2125.08,2095.64
06/12/2025,2140.09,2142.28,2142.88,2131.07
06/11/2025,2148.23,2163.54,2170.49,2146.91
06/10/2025,2156.41,2150.74,2164.47,2150.74
06/09/2025,2144.45,2144.16,2154.39,2139.05
06/06/2025,2132.25,2115.20,2132.35,2115.20
06/05/2025,2097.35,2099.56,2110.08,2086.79
06/04/2025,2098.48,2103.28,2110.22,2096.73
06/03/2025,2102.98,2074.03,2107.39,2070.86
06/02/2025,2070.16,2066.50,2070.54,2043.60
05/30/2025,2066.29,2067.33,2074.74,2051.12
05/29/2025,2074.78,2077.67,2081.52,2061.02
05/28/2025,2067.80,2089.91,2092.39,2066.44
05/27/2025,2090.40,2059.18,2090.56,2058.20
05/23/2025,2039.85,2014.11,2044.89,2011.20
05/22/2025,2045.56,2042.03,2057.01,2032.40
05/21/2025,2046.56,2084.11,2087.07,2043.18
05/20/2025,2105.58,2101.38,2111.19,2095.55
05/19/2025,2104.43,2082.20,2104.54,2081.48
05/16/2025,2113.25,2096.02,2114.95,2094.35
05/15/2025,2094.69,2077.40,2094.97,2069.34
05/14/2025,2083.80,2096.46,2099.34,2082.81
05/13/2025,2102.35,2101.55,2109.95,2095.24
05/12/2025,2092.20,2086.81,2104.71,2076.91
05/09/2025,2023.07,2031.13,2037.30,2016.29
05/08/2025,2026.41,2009.73,2040.46,2000.12
05/07/2025,1989.66,1993.73,1998.79,1977.61
05/06/2025,1983.19,1984.70,1998.32,1976.86
05/05/2025,2004.26,2003.98,2020.09,2000.29
05/02/2025,2020.74,1997.73,2026.53,1997.73
05/01/2025,1975.86,1974.78,1990.70,1960.49
04/30/2025,1964.12,1950.07,1969.40,1925.35
04/29/2025,1976.52,1957.94,1982.84,1948.16
04/28/2025,1965.55,1960.39,1973.94,1942.02
04/25/2025,1957.62,1944.73,1957.62,1934.38
04/24/2025,1957.59,1922.46,1958.71,1919.05
04/23/2025,1919.14,1938.31,1967.92,1914.62
04/22/2025,1890.28,1863.94,1892.92,1860.80
04/21/2025,1840.32,1862.71,1863.21,1823.38
04/17/2025,1880.62,1863.50,1887.64,1861.30
04/16/2025,1863.48,1872.76,1879.90,1842.15
04/15/2025,1882.92,1879.68,1902.32,1874.99
04/14/2025,1880.88,1890.66,1892.88,1848.53
04/11/2025,1860.20,1827.66,1860.85,1802.23
04/10/2025,1831.39,1864.77,1864.77,1788.98
04/09/2025,1913.16,1743.19,1930.60,1732.99
04/08/2025,1760.71,1850.91,1868.99,1738.82
04/07/2025,1810.14,1775.12,1891.16,1733.16
04/04/2025,1827.03,1866.00,1866.00,1783.06
04/03/2025,1910.55,1981.67,1981.67,1909.70
04/02/2025,2045.36,1998.33,2048.15,1986.33
04/01/2025,2012.24,2007.59,2027.00,1985.66
03/31/2025,2011.91,1997.97,2021.95,1973.08
